fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1666,car,0.89,tensor(2.),1244,285,1466,485,"3685 Kaw
",0.89,100,140,163,158,"3685 Kaw
"
1666,car,0.88,tensor(3.),1084,306,1180,384,,0,0,0,0,0,
1666,car,0.77,tensor(4.),1442,320,1513,382,,0,0,0,0,0,
1667,car,0.91,tensor(1.),0,308,348,986,,0,0,0,0,0,
1667,car,0.89,tensor(2.),1246,284,1475,489,"3685 Kau
",0.88,105,144,169,163,"3685 Kau
"
1667,car,0.87,tensor(3.),1080,306,1180,386,,0,0,0,0,0,
1667,car,0.71,tensor(4.),1447,321,1513,382,,0,0,0,0,0,
1668,car,0.88,tensor(1.),1248,284,1486,494,,0.9,109,147,176,166,
1668,car,0.87,tensor(2.),0,373,215,1029,,0,0,0,0,0,
1668,car,0.84,tensor(3.),1077,306,1178,385,,0,0,0,0,0,
1668,car,0.62,tensor(4.),1455,321,1514,383,,0,0,0,0,0,
1669,car,0.9,tensor(1.),1252,286,1497,499,,0.89,113,148,181,168,
1669,person,0.88,tensor(2.),0,248,90,485,,0,0,0,0,0,
1669,car,0.81,tensor(3.),1074,306,1175,386,,0,0,0,0,0,
1670,car,0.9,tensor(1.),1252,285,1508,503,"3685 KEN
",0.86,123,152,192,174,"3685 KEN
"
1670,car,0.86,tensor(2.),1070,306,1176,387,,0,0,0,0,0,
1670,person,0.85,tensor(3.),0,251,77,483,,0,0,0,0,0,
1671,car,0.91,tensor(1.),1256,283,1521,509,"3685 Kau
",0.92,128,158,200,180,"3685 Kau
"
1671,car,0.85,tensor(2.),1067,305,1172,388,,0,0,0,0,0,
1671,person,0.81,tensor(3.),0,243,69,486,,0,0,0,0,0,
1672,car,0.92,tensor(1.),1260,283,1534,516,,0.9,133,162,209,185,
1672,car,0.83,tensor(2.),1065,304,1171,389,,0,0,0,0,0,
1672,person,0.81,tensor(3.),0,245,62,488,,0,0,0,0,0,
1673,car,0.91,tensor(1.),1263,280,1550,524,,0.9,141,170,219,193,
1673,car,0.82,tensor(2.),1062,306,1170,389,,0,0,0,0,0,
1673,person,0.81,tensor(3.),0,247,57,488,,0,0,0,0,0,
1673,person,0.67,tensor(4.),1710,324,1758,410,,0,0,0,0,0,
1674,car,0.92,tensor(1.),1268,282,1562,527,"3585 Kiu
",0.85,150,172,228,196,"3585 Kiu
"
1674,car,0.83,tensor(2.),1059,307,1169,390,,0,0,0,0,0,
1674,person,0.81,tensor(3.),0,245,55,486,,0,0,0,0,0,
1674,person,0.75,tensor(4.),1715,324,1758,411,,0,0,0,0,0,
1675,car,0.91,tensor(1.),1273,280,1579,531,"3585 KEW,
",0.92,157,180,239,203,"3585 KEW,
"
1675,car,0.77,tensor(2.),1053,306,1167,392,,0,0,0,0,0,
1675,person,0.74,tensor(3.),0,269,54,488,,0,0,0,0,0,
1675,person,0.72,tensor(4.),1716,323,1760,412,,0,0,0,0,0,
1675,car,0.62,tensor(5.),1156,305,1215,349,,0,0,0,0,0,
1676,car,0.88,tensor(1.),1275,278,1597,539,"3585 KEN
",0.88,169,186,253,211,"3585 KEN
"
1676,car,0.79,tensor(2.),1050,303,1170,394,,0,0,0,0,0,
1676,person,0.74,tensor(3.),0,276,52,487,,0,0,0,0,0,
1676,person,0.68,tensor(4.),1717,323,1764,412,,0,0,0,0,0,
1676,car,0.64,tensor(5.),1154,307,1213,351,,0,0,0,0,0,
1677,car,0.89,tensor(1.),1279,280,1614,546,"3585 KEW
",0.86,180,190,267,216,"3585 KEW
"
1677,car,0.83,tensor(2.),1048,303,1166,395,,0,0,0,0,0,
1677,person,0.72,tensor(3.),0,283,52,487,,0,0,0,0,0,
1677,car,0.66,tensor(4.),1152,307,1211,351,,0,0,0,0,0,
1677,person,0.64,tensor(5.),1720,322,1763,412,,0,0,0,0,0,
1678,car,0.88,tensor(1.),1280,278,1636,556,,0.91,194,199,287,225,
1678,car,0.82,tensor(2.),1041,303,1163,396,,0,0,0,0,0,
1678,person,0.74,tensor(3.),0,288,50,486,,0,0,0,0,0,
1678,car,0.68,tensor(4.),1151,308,1211,351,,0,0,0,0,0,
1679,car,0.84,tensor(1.),1288,277,1659,563,,0.91,205,206,300,233,
1679,person,0.74,tensor(2.),0,293,49,487,,0,0,0,0,0,
1679,car,0.72,tensor(3.),1038,305,1162,396,,0,0,0,0,0,
1679,car,0.68,tensor(4.),1153,308,1211,351,,0,0,0,0,0,
1680,car,0.86,tensor(1.),1299,277,1684,572,"3535 (Ey
",0.88,215,212,311,241,"3535 (Ey
"
1680,car,0.78,tensor(2.),1032,304,1160,397,,0,0,0,0,0,
1680,car,0.66,tensor(3.),1155,306,1209,349,,0,0,0,0,0,
1681,car,0.9,tensor(1.),1307,273,1711,580,,0.9,228,225,329,254,
1681,car,0.85,tensor(2.),1028,303,1158,399,,0,0,0,0,0,
1681,car,0.68,tensor(3.),1153,309,1210,350,,0,0,0,0,0,
1682,car,0.87,tensor(1.),1312,270,1738,589,"$3555 KN
",0.9,248,236,353,266,"$3555 KN
"
1682,car,0.83,tensor(2.),1026,303,1156,400,,0,0,0,0,0,
1682,car,0.7,tensor(3.),1153,308,1210,350,,0,0,0,0,0,
1683,car,0.89,tensor(1.),1324,270,1768,601,,0.93,261,245,370,276,
1683,car,0.85,tensor(2.),1020,303,1154,403,,0,0,0,0,0,
1683,car,0.72,tensor(3.),1153,308,1210,350,,0,0,0,0,0,
1684,car,0.91,tensor(1.),1330,275,1805,613,"ss im
",0.9,283,248,399,282,"ss im
"
1684,car,0.87,tensor(2.),1015,304,1151,403,,0,0,0,0,0,
1684,car,0.74,tensor(3.),1151,308,1208,350,,0,0,0,0,0,
